あなたの「スマートフォン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「スマートフォン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「パソコン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「パソコン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,次の「IT用語」について「知っている」という言葉にチェックをしてください（知っているものすべてにチェック）。,Windowsの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,電子メールの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,WWW(ウェブ)の操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Wordの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Excelの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,PowerPointの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Officeの応用的な操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,情報倫理について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。
すごく興味がある,すごく自信がある,まあまあ興味がある,どちらでもない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,CPU;LAN;Wi-Fi;無線LAN;フィッシング(phishing);URL;OS;JPEG;GIF;PNG;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを検索することができる;サブフォルダを作成することができる;ファイルを別のフォルダへコピーすることができる;ファイルを削除することができる;ファイルサイズを確認することができる;ゴミ箱に入ったファイルを元に戻すことができる;USBフラッシュメモリを利用してファイルを持ち運べる;,メールを作成し、送信することができる;メールにファイルを添付して送信することができる;返信機能を利用して、適切な返信をすることができる;メールに添付されているファイルを開くことができる;CCとBCCの違いを理解している;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルに入力したデータを修正することができる;セルにデータを入力することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力する際に、絶対参照を行うことができる;SUMなどの基本的な関数を使うことができる;複数のセルを結合することができる;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,学術的文章の規則を踏まえてレポートを作成できる;ビジネス文章をマナーを理解した上で作成できる;スマートフォンで入力した文章をPCで編集できる;信憑性を意識した上でウェブの情報検索ができる;,学内PCでログアウトせずに帰る危険性を理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
どちらでもない,まあまあ自信がある,どちらでもない,あまり自信がない,まあまあ興味がある,まあまあ自信がある,どちらでもない,まあまあ自信がある,Wi-Fi;無線LAN;WWW(ウェブ);URL;GIF;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;,メールを作成し、送信することができる;,ブラウザを利用してウェブページを開くことができる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,まあまあ自信がある,すごく興味がある,あまり自信がない,すごく興味がある,どちらでもない,すごく興味がある,あまり自信がない,LAN;Wi-Fi;無線LAN;URL;OS;JPEG;GIF;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;,メールを作成し、送信することができる;メールにファイルを添付して送信することができる;返信機能を利用して、適切な返信をすることができる;転送機能を利用して、メールを転送することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;SUMなどの基本的な関数を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,画像や図を活用した文章を作成することができる;,どれも身についていない;
まあまあ興味がある,どちらでもない,あまり興味がない,全く自信がない,まあまあ興味がある,どちらでもない,どちらでもない,どちらでもない,LAN;無線LAN;Wi-Fi;URL;OS;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;ウェブページをブックマークに登録することができる;,フォントの種類やサイズを変更することができる;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,CPU;Wi-Fi;WWW(ウェブ);無線LAN;LAN;ビット（bit）;ファイアウォール;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;文字入力の際に挿入、上書きモードの使い分けができる;全角文字と半角文字を適切に区別して入力できる;ファイル操作の際にショートカットキーを活用できる;BackspaceキーとDeleteキーの使い分けができる;,メールを作成し、送信することができる;,ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;,オートサム機能を使うことができる;セルにデータを入力することができる;,新しいスライドを追加することができる;,学術的文章の規則を踏まえてレポートを作成できる;,学内PCでログアウトせずに帰る危険性を理解している;
すごく興味がある,どちらでもない,どちらでもない,全く自信がない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,Wi-Fi;LAN;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,あまり自信がない,まあまあ興味がある,全く自信がない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,無線LAN;Wi-Fi;LAN;URL;OS;拡張子;GIF;PNG;,シャットダウン(電源OFF)操作が行える;Windowsの基本的なマウス操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルサイズを確認することができる;ファイルを削除することができる;,メールを作成し、送信することができる;メールに添付されているファイルを開くことができる;CCとBCCの違いを理解している;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;ヘッダーとフッターを変更することができる;,どれも身についていない;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,まあまあ自信がある,どちらでもない,まあまあ自信がある,CPU;ビット（bit）;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;フィッシング(phishing);URL;OS;拡張子;GIF;PNG;JPEG;dpi;MP3;MP4;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;USBフラッシュメモリを利用してファイルを持ち運べる;ゴミ箱に入ったファイルを元に戻すことができる;ファイルを削除することができる;ファイル名の変更ができる;異なるソフトウェア間のコピーや貼り付けを行える;サブフォルダを作成することができる;ファイルを検索することができる;,メール作成時に適切な件名をつけることができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;インデントの変更ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;画像に対して文字列の折り返しが設定できる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力して四則演算を行うことができる;複数のセルを結合することができる;セルの幅や高さを変更することができる;セルのフォントや背景色を変更することができる;罫線（けいせん）を引くことができる;SUMなどの基本的な関数を使うことができる;セルの表示形式（通貨形式など）を変更できる;改ページプレビューを活用して印刷することができる;グラフの色や軸の表示設定などを変更することができる;グラフを作成することができる;,新しいスライドを追加することができる;オブジェクト同士の描画順序を変更することができる;テキストボックスなどのオブジェクトを挿入できる;スライドマスターを活用することができる;,スマートフォンで入力した文章をPCで編集できる;学内PCで作成したファイルを自宅のPCに持ち運べる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,どちらでもない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,どちらでもない,まあまあ興味がある,どちらでもない,Wi-Fi;URL;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;Windowsの基本的なマウス操作が行える;全角文字と半角文字を適切に区別して入力できる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;メールにファイルを添付して送信することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;ワークシートを切り替えたり、新しく作成したりできる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;,どれも身に付いていない;,どれも身についていない;
どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どれもしらない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,あまり自信がない,まあまあ興味がある,どちらでもない,どちらでもない,どちらでもない,URL;WWW(ウェブ);Wi-Fi;無線LAN;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;BackspaceキーとDeleteキーの使い分けができる;,メールを作成し、送信することができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,どちらでもない,どちらでもない,あまり自信がない,まあまあ興味がある,どちらでもない,まあまあ興味がある,どちらでもない,Wi-Fi;無線LAN;URL;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;,返信機能を利用して、適切な返信をすることができる;,Google検索を利用できる;,箇条書きの作成ができる;,セルに入力したデータを削除することができる;,新しいスライドを追加することができる;,ビジネス文章をマナーを理解した上で作成できる;学術的文章の規則を踏まえてレポートを作成できる;,どれも身についていない;
まあまあ興味がある,どちらでもない,まあまあ興味がある,全く自信がない,まあまあ興味がある,あまり自信がない,どちらでもない,あまり自信がない,Wi-Fi;URL;VR;AR;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;Windowsの基本的なマウス操作が行える;,どれも身についていない;,Google検索を利用できる;ブラウザを利用してウェブページを開くことができる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,あまり自信がない,まあまあ興味がある,どちらでもない,まあまあ興味がある,あまり自信がない,どちらでもない,あまり自信がない,ビット（bit）;CPU;Wi-Fi;URL;拡張子;dpi;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;,どれも身についていない;,どれも身に付いていない;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;オートサム機能を使うことができる;罫線（けいせん）を引くことができる;複数のセルを結合することができる;セルの幅や高さを変更することができる;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,あまり自信がない,すごく興味がある,あまり自信がない,CPU;LAN;Wi-Fi;無線LAN;ファイアウォール;URL;OS;JPEG;PNG;MP4;MP3;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;ファイルを別のフォルダへコピーすることができる;ファイルを削除することができる;USBフラッシュメモリを利用してファイルを持ち運べる;,どれも身についていない;,Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;用紙サイズの変更や余白の変更ができる;ヘッダーとフッターを変更することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;数式を入力して四則演算を行うことができる;SUMなどの基本的な関数を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,学術的文章の規則を踏まえてレポートを作成できる;画像や図を活用した文章を作成することができる;,ウェブ上の画像に関する著作権について理解している;フィッシング詐欺について理解している;学内PCでログアウトせずに帰る危険性を理解している;
どちらでもない,あまり自信がない,あまり興味がない,あまり自信がない,どちらでもない,どちらでもない,全く興味がない,全く自信がない,CPU;LAN;ビット（bit）;Wi-Fi;無線LAN;WWW(ウェブ);URL;OS;GIF;ppi;dpi;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;USBフラッシュメモリを利用してファイルを持ち運べる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;均等割つけを行うことができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;画像やグラフなどを文章内に挿入することができる;表の挿入機能を利用して、標を挿入することができる;画像に対して文字列の折り返しが設定できる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力する際に、絶対参照を行うことができる;セルの表示形式（通貨形式など）を変更できる;ワークシートを切り替えたり、新しく作成したりできる;SUMなどの基本的な関数を使うことができる;オートサム機能を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;データの並び替えや絞り込みを行うことができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,まあまあ興味がある,すごく自信がある,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;ファイアウォール;URL;OS;GIF;dpi;MP3;MP4;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;サブフォルダを作成することができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルサイズを確認することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;ZIPファイルを展開することができる;USBフラッシュメモリを利用してファイルを持ち運べる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;メールにファイルを添付して送信することができる;返信機能を利用して、適切な返信をすることができる;転送機能を利用して、メールを転送することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;ウェブページをブックマークに登録することができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;タブによる頭揃えを行うことができる;囲い文字を設定することができる;作成した文章を印刷することができる;画像に対して文字列の折り返しが設定できる;画像やグラフなどを文章内に挿入することができる;表の挿入機能を利用して、標を挿入することができる;用紙サイズの変更や余白の変更ができる;１ページの文字数や行数の設定を変更できる;インデントの変更ができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力する際に、絶対参照を行うことができる;セルの表示形式（通貨形式など）を変更できる;ワークシートを切り替えたり、新しく作成したりできる;オートサム機能を使うことができる;SUMなどの基本的な関数を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;データの並び替えや絞り込みを行うことができる;グラフの色や軸の表示設定などを変更することができる;グラフを作成することができる;CSVファイルを正しく読み込むことができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;スライドマスターを活用することができる;テキストボックスなどのオブジェクトを挿入できる;SmartArtを挿入することができる;オブジェクト同士の描画順序を変更することができる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;,作成したレポートを先生にメールで提出できる;口頭発表を意識したスライド資料を作成できる;画像や図を活用した文章を作成することができる;ビジネス文章をマナーを理解した上で作成できる;学術的文章の規則を踏まえてレポートを作成できる;学内PCで作成したファイルを自宅のPCに持ち運べる;信憑性を意識した上でウェブの情報検索ができる;スマートフォンで入力した文章をPCで編集できる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,どちらでもない,まあまあ興味がある,どちらでもない,どちらでもない,あまり自信がない,まあまあ興味がある,あまり自信がない,LAN;Wi-Fi;無線LAN;WWW(ウェブ);URL;OS;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;サブフォルダを作成することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;メールにファイルを添付して送信することができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;囲い文字を設定することができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;数式を入力して四則演算を行うことができる;オートサム機能を使うことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;グラフを作成することができる;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;
すごく興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,すごく興味がある,すごく自信がある,Wi-Fi;URL;拡張子;GIF;PNG;JPEG;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;Windowsの基本的なマウス操作が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;サブフォルダを作成することができる;ファイルを削除することができる;ファイルサイズを確認することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;メールにファイルを添付して送信することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;ヘッダーとフッターを変更することができる;作成した文章を印刷することができる;画像に対して文字列の折り返しが設定できる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;グラフを作成することができる;データの並び替えや絞り込みを行うことができる;グラフの色や軸の表示設定などを変更することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;,学術的文章の規則を踏まえてレポートを作成できる;ビジネス文章をマナーを理解した上で作成できる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,すごく自信がある,まあまあ興味がある,どちらでもない,すごく興味がある,すごく自信がある,すごく興味がある,すごく自信がある,LAN;Wi-Fi;無線LAN;WWW(ウェブ);URL;OS;GIF;JPEG;PNG;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを検索することができる;ファイルを削除することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;メールにファイルを添付して送信することができる;返信機能を利用して、適切な返信をすることができる;転送機能を利用して、メールを転送することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;インデントの変更ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;セルの幅や高さを変更することができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;,新しいスライドを追加することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;,学術的文章の規則を踏まえてレポートを作成できる;ビジネス文章をマナーを理解した上で作成できる;画像や図を活用した文章を作成することができる;作成したレポートを先生にメールで提出できる;,学内PCでログアウトせずに帰る危険性を理解している;ウェブ上の画像に関する著作権について理解している;フィッシング詐欺について理解している;
すごく興味がある,まあまあ自信がある,まあまあ興味がある,あまり自信がない,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,Wi-Fi;URL;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;ファイル名の変更ができる;,どれも身についていない;,Google検索を利用できる;ブラウザを利用してウェブページを開くことができる;,中央揃えや右揃えを設定することができる;フォントの種類やサイズを変更することができる;,セルにデータを入力することができる;,新しいスライドを追加することができる;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,どちらでもない,すごく興味がある,どちらでもない,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;ファイアウォール;フィッシング(phishing);URL;OS;拡張子;JPEG;GIF;PNG;MP3;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;ファイルを検索することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;返信機能を利用して、適切な返信をすることができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;数式を入力する際に、絶対参照を行うことができる;SUMなどの基本的な関数を使うことができる;オートサム機能を使うことができる;罫線（けいせん）を引くことができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;オブジェクト同士の描画順序を変更することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
